Country,Manufacturing Site,Brand,Item Description,Product Group,Sub Classification,Molecule/Test Type,Dosage Form,Dosage,Managed By,Fulfill Via,Shipment Mode,Line Item Quantity,Pack_Price,First Line Designation,Weight,Freight_Cost,Freight_cost_special,Line Item Insurance (USD),item_value,Shipment_Price
688,366,250,1,8550,6595,633,3532,473,10265,0,6327,6.216606101,4.421127148,1,4.770684624,7.477819152,6198,4.200954297,4.422706619,42928.13
655,345,799,1,1728,1567,5,1575,1108,10265,0,6327,6.621405652,4.290322445,1,5.147494477,8.166040117,6198,4.47038086,4.291899317,57597.27
655,2,5,1,1728,1567,5,1575,935,10265,0,6327,3.258096538,5.860786223,1,4.110873864,8.038786354,6198,2.708050201,5.862380394,11861.85
155,2,113,1,1728,1567,5,1575,2,10265,0,6327,9.210440367,3.044522438,1,8.112527763,10.23533267,6198,5.771441123,3.046045087,228189.74
155,2,113,1,1728,1567,5,1575,694,10265,0,6327,9.210440367,3.044522438,1,8.112527763,10.25632866,6198,5.771441123,3.046045087,228781.1
155,2,113,1,1728,1567,5,1575,473,10265,0,6327,9.210440367,3.044522438,1,8.112527763,10.25276319,6198,5.771441123,3.046045087,228679.8
80,3172,7285,1,8550,6595,5,729,2,10265,0,6327,11.06665399,0.936093359,1,8.349720837,9.412350988,6198,5.073422282,0.937065436,111596.33
1194,2,115,1,1728,1567,5,1575,2,10265,0,6327,9.210440367,3.33220451,1,8.090708716,9.946871702,6198,6.070737728,3.333746178,291317.78
1406,2,5,1,8550,1955,529,727,672,10265,0,673,3.713572067,2.190535589,1,8.138985591,9.31508183,1442,0.412109651,2.191960748,11421.34
688,2,5,1,8550,6595,5,3532,1195,10265,0,6327,6.908754779,2.890371758,1,4.343805422,7.733495287,6198,3.339321978,2.891881728,19309.77
688,2,7285,317,8550,6595,529,3532,1195,10265,0,6327,5.993961427,2.238579763,1,3.17805383,7.673246377,6198,1.850028377,2.240007315,5506.41
80,345,7285,1,1728,161,5,161,725,10265,0,6327,7.313886832,0.009950331,1,4.605170186,8.877423832,6198,0.019802627,0.009963532,15.77
1194,345,7285,1,1728,161,5,161,526,10265,0,6327,6.478509642,0.009950331,1,8.138985591,9.31508183,239,0.009950331,0.009965563,11109.74
1406,2,5,1,8550,1955,5,121,2,10265,0,6327,5.303304908,0.993251773,1,8.138985591,9.31508183,1442,0.431782416,0.994251273,11443.77
655,405,5,1,1728,1567,5,1575,473,10265,0,6327,1.098612289,4.941642423,1,8.138985591,9.31508183,239,0.364643114,4.943212618,11381.67
1083,2,5,1,1728,1567,5,1575,2,10265,0,6327,6.167516491,4.343805422,1,6.234410726,8.602913903,6198,4.075501474,4.345383353,41680.39
1083,2,113,1,1728,1567,5,1575,473,10265,0,6327,6.492239835,3.044522438,1,5.332718793,7.884998108,6198,3.289520664,3.046387162,15861.95
80,345,7285,1,1728,161,5,161,2,10265,0,6327,5.484796933,0.009950331,1,8.138985591,9.31508183,239,0,0.009950331,11105.63
80,345,7285,1,1728,161,5,161,1195,10265,0,6327,5.365976015,0.009950331,1,2.708050201,8.877423832,6198,0,0.009950331,362.13
80,405,5,1,1728,1567,5,1575,2,10265,0,6327,4.158883083,5.364526367,1,8.138985591,9.31508183,1442,3.110845081,5.366101359,24523.92
538,345,799,1,1728,1567,5,1575,12,10265,0,6327,7.399398083,4.290322445,1,5.924255797,8.322019802,6198,5.242857509,4.291899275,121932.33
1194,2,115,1,1728,1567,5,1575,2,10265,0,6327,7.262628601,3.33220451,1,6.182084907,8.607011957,6198,4.136126096,3.333746178,44005.44
80,345,799,1,1728,1567,5,1575,350,10265,0,6327,4.96284463,4.290322445,1,3.526360525,7.447850343,6198,2.854168709,4.291899654,11954.11
688,1415,7285,755,8550,6595,1125,3532,935,10265,0,6327,9.036106025,2.524127363,1,6.484635236,8.307049771,6198,5.045294337,2.525598064,100637.63
1406,2,5,1,8550,6595,5,729,1108,10265,0,2936,1.945910149,4.22697972,1,8.138985591,9.31508183,1442,0.500775288,4.228559749,11508.94
1406,2,5,1,8550,1955,5,121,2,10265,0,2936,6.398594935,0.896088025,0,8.138985591,9.31508183,1442,0.871293366,0.897033156,11974.62
688,2,16,1,8550,1955,5,146,2,10265,0,6327,5.993961427,2.079441542,1,4.406719247,7.701674966,6198,1.701105101,2.080840563,5015.53
1406,2,16,1,8550,1955,5,146,2,10265,0,2936,1.945910149,2.628285233,1,8.138985591,9.31508183,1442,0.113328685,2.629728234,11180.45
1194,345,799,1,1728,1567,5,1575,2,10265,0,6327,8.612321537,4.39432569,1,7.132497552,9.686029061,6198,6.557715417,4.395904696,456578.9
1194,345,7285,1,1728,161,5,161,1108,10265,0,6327,8.612321537,0.009950331,1,8.138985591,9.31508183,239,0.086177696,0.009966538,11158.3
80,405,373,369,1728,1567,37,1575,2,10265,0,6327,2.772588722,3.852060664,1,8.138985591,9.31508183,1442,0.746687947,3.85372983,11795.76
688,1415,7285,1,8550,6595,5,3532,1195,10265,0,6327,7.204149292,2.685122696,1,7.33823815,9.511105487,6198,3.413455279,2.686612219,31896.33
1406,2,5,1,8550,6595,5,729,2,10265,0,2936,3.044522438,1.819698838,1,8.138985591,9.31508183,1442,0.182321557,1.821318271,11206.83
1406,2,5,1,8550,6595,5,121,2,10265,0,2936,4.615120517,2.998727783,1,8.138985591,9.31508183,1442,1.398716881,3.000247067,13012.28
1406,2,5,1,8550,1955,5,121,2,10265,0,2936,6.508769137,0.928219303,0,8.138985591,9.31508183,1442,0.970778917,0.92918633,12129.97
155,2,5,1,8550,6595,5,121,2,10265,0,6327,7.862497197,3.205587931,1,4.770684624,6.470954291,6198,4.598648969,3.207121841,62214.44
655,2,5,1,1728,1567,5,1575,526,10265,0,6327,3.36729583,5.860786223,1,4.700480366,6.66329871,6198,2.814210397,5.862380394,10597.81
655,405,5,1,1728,1567,5,1575,2,10265,0,6327,4.442651256,4.941642423,1,4.007333185,6.77144288,6198,3.173041289,4.943586111,12570.45
1406,2,5,1,8550,6595,453,121,1195,10265,0,2936,3.433987204,3.582963229,1,8.138985591,9.31508183,1442,0.985816795,3.584518439,12154.31
688,3172,7285,378,8550,6595,592,3532,526,10265,0,6327,10.56206917,1.223775432,1,7.908387159,9.831761664,6198,5.006493395,1.224904224,111499.1
1194,2,5,1,16,16,5,121,2,10265,0,6327,3.555348061,3.839882328,1,4.753590191,7.471289096,6198,1.247032294,3.841449053,3306.03
688,3172,7285,1,8550,6595,5,729,2,10265,0,6327,10.64544871,0.896088025,1,7.863651265,9.228196007,6198,4.589447226,0.897034515,71176.6
1406,2,5,1,8550,1955,877,214,672,10265,0,2936,3.931825633,2.703372612,1,8.138985591,9.31508183,1442,0.746687947,2.704858446,11800.84
688,1415,7285,755,8550,6595,1125,3532,935,10265,0,6327,9.729193687,2.415020522,1,7.110696123,8.452735734,6198,5.818717013,2.416803795,176214.42
80,2,5,1,8,30,5,1575,935,10265,0,6327,4.59511985,3.650658241,1,3.555348061,8.877423832,6198,1.928618652,3.65221547,3860.88
683,345,799,1,1728,1567,5,1575,935,10265,0,6327,8.412054873,4.290322445,1,6.960347729,9.311366006,6198,6.455119944,4.292253721,335652
80,405,373,369,1728,1567,37,1575,1195,10265,0,6327,2.397895273,3.496507561,1,8.138985591,9.31508183,239,0.412109651,3.498051823,11423.74
1083,2,5,1,1728,1567,5,1575,1195,10265,0,6327,6.216606101,4.343805422,1,6.333279628,9.332481011,6198,4.123903364,4.345383397,49358.93
1083,2,7285,1,16,16,5,121,2,10265,0,6327,10.1266711,0.329303747,1,7.443663683,9.459690316,6198,3.001217204,0.329853524,22600.02
1194,2,5,1,8550,6595,5,2749,2,10265,0,6327,2.302585093,3.939638172,1,8.138985591,9.31508183,1442,0.636576829,3.941560232,11557.72
80,345,799,1,1728,1567,5,1575,2,10265,0,6327,5.017279837,4.290322445,1,3.850147602,7.900651433,6198,3.098740024,4.292254177,13517.71
80,405,373,1,1728,161,5,161,672,10265,0,6327,2.772588722,3.433987204,1,0.693147181,6.361319749,6198,0.631271777,3.435877889,1028.89
683,2,113,1,1728,1567,5,1575,2,10265,0,6327,5.768320996,3.044522438,1,4.615120517,7.023972645,6198,2.602689685,3.046386649,7514.74
1406,2,5,1,8550,6595,5,3532,1195,10265,0,2936,4.394449155,3.173041289,1,8.138985591,9.31508183,1442,1.523880024,3.174918713,12937.22
1406,2,5,1,8550,6595,5,3532,1195,10265,0,2936,4.795790546,3.173041289,1,8.138985591,9.31508183,1442,1.853168097,3.174916971,13854.21
1406,2,5,1,8550,1955,5,121,2,10265,0,2936,6.398594935,0.887891257,0,8.138985591,9.31508183,1442,0.985816795,0.889042857,11962.91
1406,2,16,1,8550,1955,5,146,2,10265,0,2936,2.079441542,2.642622396,0,8.138985591,9.31508183,1442,0.165514438,2.644450921,11194.76
1406,14,165,1,8550,1955,633,727,2,10265,0,2936,3.713572067,3.566429294,0,8.138985591,9.31508183,1442,1.30833282,3.568334796,12481.53
80,2,5,1,8,30,5,1575,350,10265,0,6327,4.691347882,3.650658241,1,8.138985591,9.31508183,1442,2.190535589,3.652565992,15161.17
155,2,5,1,8550,6595,5,2749,2,10265,0,6327,10.81979828,3.939638172,1,8.317277766,9.142061531,6198,8.505161095,3.941558196,2534278.2
1083,2,7285,1,22,30,5,121,2,10265,0,6327,4.94875989,3.020912572,1,8.558335135,10.1427493,6198,1.848454813,3.022774041,28141.97
631,405,373,369,1728,1567,37,1575,1195,10265,0,6327,8.648396877,3.496507561,1,7.553286606,10.08229461,6198,5.88192866,3.498406342,206672.3
688,3172,7285,597,8550,6595,689,2749,725,10265,0,6327,8.693664335,2.262804223,1,8.163371316,9.460024583,6198,4.62153554,2.264558797,64285.89
688,3172,7285,378,8550,6595,592,3532,526,10265,0,6327,9.952325335,1.223775432,0,8.138985591,9.31508183,2445,4.602967762,1.225157949,61602.01
688,665,7285,1,8550,6595,5,2749,2,10265,0,6327,9.26492325,2.066862759,1,6.829793738,8.34923124,6198,4.968492984,2.068573153,77232.74
688,3172,7285,597,8550,6595,689,2749,725,10265,0,6327,7.763446389,2.262804223,1,5.356586275,6.795146335,6198,3.705982362,2.264558666,21182.91
155,14,165,1,8550,1955,633,727,2,10265,0,6327,6.263398263,3.740047741,1,6.469250317,8.805316666,6198,3.76607195,3.741959296,28247.22
155,366,7285,1,8550,1955,633,3532,2,10265,0,6327,7.647308832,2.423031246,1,5.472270674,9.31508183,1442,3.765608987,2.424815827,32671.74
80,2,5,1,1728,1567,5,1575,12,10265,0,6327,9.017968479,3.157000421,1,7.937731775,9.441198886,6198,5.899294432,3.158875254,198562.09
1194,2,5,1,8550,6595,5,121,2,10265,0,6327,5.303304908,3.205587931,1,2.48490665,8.877423832,6198,2.33020026,3.207466991,5206.28
655,2,16,1,8550,1955,5,146,2,10265,0,6327,4.394449155,2.351375257,1,3.784189634,8.877423832,6198,0.91228271,2.353147495,1021.49
655,2,16,1,8550,1955,5,121,2,10265,0,6327,3.496507561,2.609334228,0,8.138985591,9.31508183,2445,0.58221562,2.611149173,11506.9
655,366,7285,1,8550,1955,633,3532,2,10265,0,6327,3.850147602,2.423031246,1,2.397895273,6.79595183,6198,0.657520003,2.424821964,1367.03
1406,3172,7285,755,8550,6595,1125,3532,935,10265,0,6327,8.014996894,2.816007343,1,8.138985591,9.31508183,1442,4.544783036,2.817848261,58719.12
1406,665,7285,755,8550,6595,1125,3532,935,10265,0,6327,8.160803921,2.72392355,1,8.138985591,9.31508183,1442,4.591983624,2.725753334,61040.92
1406,3172,7285,1,8550,1955,529,727,672,10265,0,6327,6.91671502,1.517322624,0,8.138985591,9.31508183,1442,2.083184528,1.518850886,14698.74
1406,2,5,1,8550,1955,5,121,2,10265,0,6327,6.867974409,0.78845736,1,8.138985591,9.31508183,1442,1.181727195,0.789526864,12257.49
1406,2,5,1,8550,1955,592,727,672,10265,0,6327,7.496097345,1.922787732,1,8.138985591,9.31508183,1442,3.072693315,1.924459498,21635.83
1406,3172,7285,1,8550,6595,5,729,2,10265,0,6327,7.090909822,1.340250423,1,8.138985591,9.31508183,1442,2.032087845,1.341695713,14493.86
1406,3172,7285,1,8550,1955,592,727,672,10265,0,6327,5.84932478,1.894616855,1,8.138985591,9.31508183,1442,1.574846468,1.896280037,13061.96
1406,3172,7285,1,8550,1955,1125,729,2,10265,0,2936,8.575650761,1.420695788,1,8.138985591,9.31508183,1442,3.515121128,1.42218133,27777.85
1406,3172,7285,1,8550,1955,592,727,672,10265,0,6327,5.837730447,1.894616855,1,8.138985591,9.31508183,1442,1.566530411,1.896281915,13039.32
1406,2,5,1,8550,6595,5,729,2,10265,0,2936,7.901377354,1.599387577,1,8.138985591,9.31508183,1442,3.086486637,1.600950141,21789.13
1406,366,250,1,8550,6595,633,3532,473,10265,0,6327,8.225770799,3.610377226,1,8.138985591,9.31508183,1442,5.577463108,3.612282443,145751.93
1406,2,5,1,8550,6595,529,3532,1195,10265,0,6327,8.699681401,2.670002133,1,8.138985591,9.31508183,1442,5.069218618,2.671824687,91901.28
1406,3172,7285,1,8550,6595,5,729,2,10265,0,6327,9.365033762,1.386294361,1,8.138985591,9.31508183,1442,4.243195509,1.387763253,46187.86
80,2,5,1,1728,1567,5,1575,2,10265,0,6327,3.044522438,5.860786223,1,3.891820298,7.067413621,6198,2.689207113,5.862738732,8185.83
1083,366,250,1,8550,6595,633,3532,473,10265,0,6327,9.23415455,3.740047741,1,7.833600224,9.602887737,6198,6.716461593,3.741959349,436495.37
1083,14,136,1,8550,6595,5,729,2,10265,0,6327,5.993961427,3.672750072,1,5.170483995,8.941672381,6198,3.436242723,3.674658185,23017.04
1406,14,165,1,8550,1955,633,727,2,10265,0,2936,3.433987204,3.610917913,1,8.138985591,9.31508183,1442,1.137833002,3.612826001,12185.35
1406,2,94,1,8550,6595,5,2749,2,10265,0,2936,4.394449155,3.589059119,1,8.138985591,9.31508183,1442,1.874874376,3.590963382,13924.75
1406,3172,7285,317,8550,6595,529,3532,1195,10265,0,2936,6.908754779,3.033509638,1,8.138985591,8.050655549,6198,3.682609841,3.035373571,22943.6
655,2,5,1,1728,1567,5,1575,2,10265,0,6327,4.110873864,5.860786223,1,4.976733742,8.048529464,6198,3.741471904,5.862738732,24169.35
80,345,799,577,1728,1567,577,1575,2,10265,0,6327,8.922791624,4.394449155,1,7.703459048,9.731293143,6198,7.070724107,4.396383086,618011.31
1194,345,799,577,1728,1567,577,1575,1195,10265,0,6327,8.763428074,4.394449155,1,7.557994959,10.10705392,6198,6.911488303,4.396383094,537117.07
80,869,7285,755,8550,6595,1125,3532,935,10265,0,6327,10.9215584,2.076938411,1,8.408047744,10.52957945,6198,6.631092273,2.07865132,424546.93
1083,2,5,1,1728,1567,5,1575,935,10265,0,6327,6.908754779,4.709530201,1,7.00488199,8.996531863,6198,5.378052335,4.71147066,118289.63
688,2,136,1,8550,6595,5,729,2,10265,0,6327,2.197224577,4.353112625,1,3.891820298,8.121789299,6198,0.78845736,4.35504077,3981
688,3172,7285,580,8550,6595,707,2749,694,10265,0,6327,8.160803921,2.49732917,1,7.498315871,8.755088203,6198,4.350148896,2.499126261,45443.37
80,2,5,1,1728,1567,5,1575,935,10265,0,6327,1.791759469,5.860786223,1,2.564949357,6.530031789,6198,1.488399584,5.862738732,2437.85
80,2,5,1,1728,1567,5,1575,526,10265,0,6327,4.219507705,4.33073334,1,3.891820298,8.877423832,6198,2.38416508,4.332665879,5436.82
688,2,16,1,8550,1955,5,146,2,10265,0,6327,5.993961427,2.079441542,1,5.003946306,8.877423832,6198,1.870262531,2.081155697,2819.85
80,405,373,369,1728,1567,37,1575,935,10265,0,6327,5.398162702,3.496507561,1,4.382026635,7.460018388,6198,2.694627181,3.498406584,8789.98
1406,14,136,1,8550,6595,5,729,2,10265,0,2936,3.931825633,2.379546134,1,8.138985591,9.31508183,1442,0.672944473,2.381322334,11594.19
1406,3172,7285,378,8550,6595,592,3532,526,10265,0,2936,8.517393171,2.225704049,1,8.138985591,9.31508183,1442,4.406109305,2.227450902,52484.18
1406,2,5,1,8550,1955,592,727,672,10265,0,2936,6.133398043,1.969905655,1,8.138985591,9.31508183,1442,1.880990603,1.971590003,13946.99
1083,2,5,1,1728,1567,5,1575,2,10265,0,6327,4.997212274,4.335328032,1,5.111987788,7.505255723,6198,5.485284888,4.356496666,13133.14
1083,2,5,1,1728,1567,5,1575,935,10265,0,6327,1.945910149,5.993961427,1,2.772588722,6.947456646,6198,5.485284888,6.089089329,3679.62
688,2,16,1,8550,1955,5,146,2,10265,0,6327,7.937731775,2.079441542,1,6.320768294,8.099599833,6198,5.485284888,2.090104032,23132.27
655,2,5,1,1728,1567,5,1575,935,10265,0,6327,2.772588722,5.993961427,1,3.610917913,7.08698038,6198,5.485284888,6.033105027,7435.41
538,2,165,1,8550,6595,633,729,2,10265,0,6327,5.564520407,3.776890331,1,4.912654886,9.31508183,1442,5.485284888,3.797812989,22440.15
1194,3172,7285,378,8550,6595,592,3532,526,10265,0,6327,6.796823718,1.470175845,1,6.173786104,8.489233949,6198,5.485284888,1.530089019,8096.16
688,665,7285,597,8550,6595,689,2749,725,10265,0,6327,10.13066296,2.48490665,1,7.853993087,9.840225017,6198,5.485284888,2.485703535,295113.06
688,540,7285,1,8550,6595,5,729,2,10265,0,6327,11.466892,0.920282753,1,9.123801611,10.65618136,6198,5.485284888,0.921283973,186898.33
80,405,373,369,1728,1567,37,1575,935,10265,0,6327,6.803505258,3.713572067,1,5.758901774,8.515365522,6198,5.485284888,3.720058239,41229.99
631,2,250,1,8550,6595,633,3532,473,10265,0,6327,4.394449155,3.740047741,1,3.258096538,9.31508183,1442,5.485284888,3.808914847,14631.35
688,665,7285,1,8550,6595,5,2749,2,10265,0,6327,11.15626481,2.140066163,1,8.826734598,10.36907802,6198,5.485284888,2.140469641,557098.21
80,665,7285,755,8550,6595,1125,3532,935,10265,0,6327,11.17854304,2.785011242,0,8.138985591,9.31508183,2445,5.485284888,2.7852183,1099313.75
80,2,7285,3,8550,6595,453,3532,1195,10265,0,6327,8.631592732,3.61361697,0,8.138985591,9.31508183,2445,5.485284888,3.614771018,213683.85
80,2,799,577,1728,1567,577,1575,2,10265,0,6327,5.303304908,4.394449155,1,8.138985591,9.31508183,239,5.485284888,4.409162457,27343.35
688,665,7285,1,8550,6595,5,2749,2,10265,0,6327,10.1266711,2.140066163,1,7.761744985,9.973041133,6198,5.707110265,2.141476933,209239.59
1194,2,5,1,1728,1567,5,1575,2,10265,0,6327,5.929589143,4.343805422,1,5.998936562,8.399928771,6198,5.485284888,4.352086798,33185.87
80,2,799,577,1728,1567,577,1575,526,10265,0,6327,8.444837529,4.394449155,1,7.443078374,10.12103347,6198,5.485284888,4.39508646,397099.57
1083,2,16,1,8550,1955,5,146,2,10265,0,6327,7.363913501,2.351375257,1,5.726847748,9.31508183,1442,3.217675104,2.352821805,26108.7
1194,2,799,577,1728,1567,577,1575,1108,10265,0,6327,8.160803921,4.394449155,1,7.085901464,8.675831501,6198,6.107022888,4.396028154,286306.57
1083,2,16,1,8550,1955,5,146,2,10265,0,6327,8.359603271,2.351375257,0,8.138985591,9.31508183,1442,4.188138442,2.35282174,51733.13
688,3172,7285,1,8550,1955,877,214,672,10265,0,6327,6.908754779,1.071583616,1,6.867974409,9.529768901,6198,1.403642999,1.072634434,15685.48
688,3172,7285,1,8550,1955,529,727,672,10265,0,6327,6.908754779,1.131402111,0,8.138985591,9.31508183,2445,1.472472057,1.132485395,13206.59
688,3172,7285,1,8550,1955,529,727,672,10265,0,6327,6.908754779,1.131402111,0,8.138985591,9.31508183,2445,1.472472057,1.132485395,13206.59
688,3172,7285,580,8550,6595,707,2749,694,10265,0,6327,8.006700845,2.674148649,1,5.80814249,8.4019215,6198,4.186619838,2.675637196,45019.42
688,3172,7285,755,8550,6595,1125,3532,935,10265,0,6327,10.02131503,2.590017134,1,7.578656851,9.686350302,6198,6.097804583,2.59149601,293964.27
688,366,250,1,8550,6595,633,3532,473,10265,0,6327,6.216606101,4.421127148,1,4.770684624,7.477819152,6198,4.200954297,4.422706619,42928.13
155,2,113,1,1728,1567,5,1575,2,10265,0,6327,9.210440367,3.044522438,1,8.112827479,10.13326108,6198,5.771441123,3.046045087,225485.3
80,2,5,1,8550,6595,5,3532,1195,10265,0,6327,7.383989458,2.890371758,1,5.062595033,8.977555492,6198,3.801314883,2.891881563,35319
1406,14,165,1,8550,1955,633,727,2,10265,0,6327,3.433987204,3.897112393,0,8.138985591,9.31508183,1442,1.199964783,3.898681063,12553.35
1406,2,5,1,8550,6595,5,121,2,10265,0,2936,4.615120517,3.384390263,0,8.138985591,9.31508183,1442,1.715598108,3.385934833,13957.79
688,14,136,1,8550,6595,5,729,2,10265,0,6327,4.615120517,5.21672763,1,5.823045895,7.838501032,6198,3.412137322,5.218317533,20897.73
1194,2,115,1,1728,1567,5,1575,526,10265,0,6327,9.210440367,3.33220451,1,8.112827479,10.24009371,6198,6.070737728,3.333746178,298434.75
80,1415,7285,3,8550,6595,453,3532,1195,10265,0,6327,7.003065459,3.349904087,1,4.736198448,7.321353887,6198,3.89914038,3.351446884,31782.11
688,3172,7285,1,8550,6595,5,729,2,10265,0,6327,7.090909822,1.011600912,1,4.836281907,7.795996269,6198,1.472472057,1.012618576,4533.21
80,2,5,1,1728,1567,5,1575,1195,10265,0,6327,3.931825633,5.860786223,1,8.138985591,9.31508183,1442,3.36729583,5.862380394,28631.23
1194,345,799,1,1728,1567,5,1575,1108,10265,0,6327,6.478509642,4.39432569,1,5.003946306,7.85487391,6198,4.433076149,4.395904695,54653.96
1406,2,5,1,8550,6595,5,729,2,10265,0,6327,4.615120517,1.906575144,0,8.138985591,9.31508183,1442,0.652325186,1.907941224,11677.15
80,405,373,369,1728,1567,37,1575,526,10265,0,6327,6.11146734,3.496507561,1,5.043425117,7.823093557,6198,3.17971911,3.498057874,16919.66
1194,2,115,1,1728,1567,5,1575,672,10265,0,6327,9.237079669,3.33220451,1,7.975220839,9.845083245,6198,6.097309945,3.333746164,296598.03
631,405,373,369,1728,1567,37,1575,2,10265,0,6327,9.105090961,3.496507561,1,9.105090961,10.92858946,6198,6.135131897,3.498057874,344207.39
683,405,373,369,1728,1567,37,1575,473,10265,0,6327,8.70632484,3.496507561,1,7.627057417,10.11415358,6198,5.737378424,3.498057884,218278.25
683,345,7285,1,1728,161,5,161,694,10265,0,6327,8.366602833,0.009950331,1,5.65248918,9.31508183,1442,0.067658648,0.009966449,11146.3
1083,2,115,1,1728,1567,5,1575,1195,10265,0,6327,5.669880923,3.33220451,1,4.382026635,7.008224853,6198,2.790551423,3.334092248,8922.98
631,345,799,1,1728,1567,5,1575,935,10265,0,6327,8.006700845,4.290322445,1,6.52649486,8.575443231,6198,5.848027108,4.291899272,221614.45
1083,345,7285,1,1728,161,5,161,672,10265,0,6327,4.262679877,0.009950331,1,8.138985591,9.31508183,239,0,0.009950331,11103.93
1083,345,799,1,1728,1567,5,1575,935,10265,0,6327,7.018401799,4.262679877,1,5.545177444,8.55192693,6198,4.836202539,4.264256074,83420.71
1083,345,799,1,1728,1567,5,1575,694,10265,0,6327,7.018401799,4.262679877,1,5.549076085,8.870539401,6198,5.03773152,4.264610467,85391.24
80,405,373,369,1728,1567,37,1575,1108,10265,0,6327,6.725033642,3.496507561,1,6.725033642,8.227118927,6198,3.77505715,3.498057932,30406.64
80,345,799,1,1728,1567,5,1575,935,10265,0,6327,5.365976015,4.290322445,1,3.912023005,6.867412336,6198,3.239854231,4.291899012,16317.86
80,2,5,1,1728,1567,5,1575,672,10265,0,6327,2.397895273,5.860786223,1,3.688879454,6.405228458,6198,1.887069649,5.862380394,4109.6
538,345,7285,1,1728,161,5,161,2,10265,0,6327,7.399398083,0.009950331,1,8.138985591,9.31508183,239,0.029558802,0.009968509,11119.6
1406,14,165,1,8550,6595,633,729,2,10265,0,2936,5.993961427,3.698829785,0,8.138985591,9.31508183,1442,3.266522478,3.700389212,26888.45
